Year,Competition,Guidelines,Brewer,Beer,Flight Medal,BOS Medal
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Luke Slisz,Brett Beer,bronze,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Luke Slisz,Oud Bruin,bronze,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Mark Charlwood,Trappist Single,HM,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Richard Clibborn,3 Phase Tripel IPA,HM,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Fraser Withers,You Sexy Thing,gold,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Fraser Withers,Blue Jay,silver,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,James Wilson,Careless,bronze,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Jacques Marais,Eis DIPA,silver,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Jacques Marais,Old Treacle,gold,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Alex Allen,Vbp,silver,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Alex Allen,Old John's Pale,silver,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Alex Allen,Old John's Lady,gold,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Richard Conroy,Tiderace,silver,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Devon MacDougall,Saison,bronze,
2018,London & Southeast Craft Brewing Competition,BJCP 2015,Devon MacDougall,$4 Rent,bronze,
2018,Welsh National,BJCP 2015,Fraser Withers,You Sexy Thing,gold,silver
2018,Welsh National,BJCP 2015,James Wilson,Careless,gold,
2018,Welsh National,BJCP 2015,Ian Cosier,Fall Line,silver,
2018,Welsh National,BJCP 2015,Ian Cosier,1741,bronze,
2018,Welsh National,BJCP 2015,Lee Immins,Bring Your Daughter To the Porter,gold,
2018,Welsh National,BJCP 2015,Mark Sanderson,Cat's Cradle,silver,
