Year,Competition,Guidelines,Brewer,Beer,Flight Medal,BOS Medal
2014,UK National Homebrew Competition,BJCP 2008,Rich Lock,Retribution RIS,gold,
2014,UK National Homebrew Competition,BJCP 2008,Lee Immins,Simian's Wee Heavy,gold,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,Essex Barleywine,silver,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,Chien Noir,silver,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,Eva Pils,silver,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,1835,gold,
2014,UK National Homebrew Competition,BJCP 2008,Phill Turner,Vest Male Dubbel,gold,silver
2014,London & Southeast,BJCP 2008,Joshua Walker,Brown Ale,bronze,
2014,London & Southeast,BJCP 2008,Paul Henderson,Wisp of Smoke,bronze,
2014,London & Southeast,BJCP 2008,Mark Vincent,7305 Days of Bliss,silver,
2014,London & Southeast,BJCP 2008,Jonathan Stewart,Urban Fox,gold,bronze
2014,London & Southeast,BJCP 2008,Andrew Drinkwater,Saison A,silver,
2014,London & Southeast,BJCP 2008,Andrew Drinkwater,Shepherds Bush Common,gold,
2014,London & Southeast,BJCP 2008,Andy Ortega,Beauty,bronze,
2014,London & Southeast,BJCP 2008,Andy Ortega,Classic Saison,gold,silver
2014,London & Southeast,BJCP 2008,Josh Smith,Sasquatch Black IPA,gold,gold
2014,London & Southeast,BJCP 2008,Rich Lock,Retribution East India Porter,silver,
2014,London & Southeast,BJCP 2008,Lee Immins,Old Bastard,silver,
2014,London & Southeast,BJCP 2008,Lee Immins,Simian's Wee Heavy,gold,
2014,London & Southeast,BJCP 2008,Phill Turner,Musketeer,bronze,
2014,London & Southeast,BJCP 2008,Andy Parker,West Coast IPA,silver,
2014,London & Southeast,BJCP 2008,Craig Carmichael,Twos And Threes,gold,
2014,London & Southeast,BJCP 2008,Andrew Backwell,Letterbox Oatmeal Stout,silver,
2014,London & Southeast,BJCP 2008,Paul Evans,Abbaye De Morden Tripel,bronze,
2014,London & Southeast,BJCP 2008,Alex Gardiner,Liberty Cream Ale,bronze,
2014,London & Southeast,BJCP 2008,Dan Harris,String Theory,bronze,
2014,London & Southeast,BJCP 2008,Phill Turner,Essex Barleywine,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,John Lathouwers,The 1881,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,Manmohan Birdi,Man's IBS,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,Barry Watts,Black Rod,gold,
2015,Black Friday Homebrew Competition,BJCP 2015,Todd Buchanan,T Black C,gold,
2015,Black Friday Homebrew Competition,BJCP 2015,Jonathan Goulding,DW Porter,gold,
2015,Black Friday Homebrew Competition,BJCP 2015,Nick Reese,White Top,bronze,
2015,Black Friday Homebrew Competition,BJCP 2015,Sean Cummins,Expresso Stout,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,Mike Carter,Black Beauty,silver,
2015,Black Friday Homebrew Competition,BJCP 2015,Jeremiah Petersen,Domestic Tragedy,bronze,
2015,Black Friday Homebrew Competition,BJCP 2015,Jeremiah Petersen,Bildungsroman,gold,gold
2015,Black Friday Homebrew Competition,BJCP 2015,Rich Lock,Imperial Black Rye IPA,gold,silver
2015,Black Friday Homebrew Competition,BJCP 2015,Lee Immins,Bring Your Daughter To The Porter,gold,bronze
2015,Black Friday Homebrew Competition,BJCP 2015,Lee Immins,Tramp Hair Treacle Stout,gold,
2015,Black Friday Homebrew Competition,BJCP 2015,Phill Turner,1835 English Porter,silver,
2015,IV. Hrvatsko Homebrew Prvenstvo,BJCP 2008,Lee Immins,Imperious Old Bastard,silver,
2015,London & Southeast,BJCP 2008,Ken Bazley,LARISBRIS,silver,silver
2015,IV. Hrvatsko Homebrew Prvenstvo,BJCP 2008,Lee Immins,Black Ryeday Rye Stout,bronze,
2015,IV. Hrvatsko Homebrew Prvenstvo,BJCP 2008,Manmohan Birdi,Man's IBS,bronze,
2015,Bexley Festival,NGWBJ,Dave Halse,Smoked Porter,gold,gold
2015,London & Southeast,BJCP 2008,Lee Immins,Marooned Baboon Bitter,gold,
2015,London & Southeast,BJCP 2008,Lee Immins,1823,silver,
2015,London & Southeast,BJCP 2008,Lee Immins,Imperious Old Bastard,bronze,
2015,London & Southeast,BJCP 2008,Alex Allen,Sinead O'Stout,bronze,
2015,London & Southeast,BJCP 2008,Paul Evans,St Jude's Lager,bronze,
2015,London & Southeast,BJCP 2008,Joshua Walker,Barleywine,gold,
2015,London & Southeast,BJCP 2008,Sean Cummins,Rye Beer,silver,
2015,London & Southeast,BJCP 2008,Jonathan Finch,Three Graces IPA,bronze,
2015,London & Southeast,BJCP 2008,Jonathan Finch,Burton-on-Thames IPA,silver,
2015,London & Southeast,BJCP 2008,Drew Wnek,Lea Valley Steam,bronze,
2015,London & Southeast,BJCP 2008,Paul Spearman,Paul's IBS,bronze,
2015,London & Southeast,BJCP 2008,Paul Spearman,Paul's Bierre De Garde,gold,
2015,London & Southeast,BJCP 2008,Mike Carter,Pick Me Up,gold,
2015,London & Southeast,BJCP 2008,Josh Smith,Red Ruin & Redemption,bronze,
2015,London & Southeast,BJCP 2008,Josh Smith,Tesselation IPA,silver,
2015,London & Southeast,BJCP 2008,Mick Harrison,Southwold Pirate,bronze,
2015,London & Southeast,BJCP 2008,Mick Harrison,SpringBock,gold,bronze
2015,London & Southeast,BJCP 2008,Rich Lock,Retribution Saison,bronze,
2015,London & Southeast,BJCP 2008,Rich Lock,Pale Retribution,silver,
2015,UK National Homebrew Competition,BJCP 2015,Jacques Marais,Es Weiss Zwei,bronze,
2015,UK National Homebrew Competition,BJCP 2015,Tim Weenink,Velomobile,bronze,
2015,UK National Homebrew Competition,BJCP 2015,Jonathan Finch,Camberwell Fuggly,bronze,
2015,UK National Homebrew Competition,BJCP 2015,Jonathan Finch,Three Graces Tripel,silver,
2015,UK National Homebrew Competition,BJCP 2015,Ken Bazley,LARISBRIS,silver,
2015,UK National Homebrew Competition,BJCP 2015,Lee Immins,Fox & Groot,gold,
2015,UK National Homebrew Competition,BJCP 2015,Phill Turner,Gone For An Old Burton,silver,
2015,UK National Homebrew Competition,BJCP 2015,Phill Turner,Vest Male Tripel,gold,4th
2015,Black Friday Homebrew Competition,BJCP 2015,Claire Russell,Texas Tea,bronze,
2015,Black Friday Homebrew Competition,BJCP 2015,Steven Foster,Peckham Porter,silver,
2016,Brew Brighton,BJCP 2015,Mark Charlwood,New England IPA,bronze,
2016,Black Friday,BJCP 2015,Jeremiah Petersen,Milk Stout,bronze,
2016,Black Friday,BJCP 2015,Jeremiah Petersen,Chocolate Imperial Stout,gold,gold
2016,Black Friday,BJCP 2015,Fraser Withers,Harry Porter And The Goblet Of Fire,silver,
2016,Black Friday,BJCP 2015,Fraser Withers,Black Cat,gold,bronze
2016,Black Friday,BJCP 2015,Phill Turner,Georgijs Voshington Porter,gold,
2016,Black Friday,BJCP 2015,Phill Turner,Old Bastards Fag End,silver,
2016,Black Friday,BJCP 2015,Rob Gallagher,Kafka’s Dark Menace,silver,
2016,Black Friday,BJCP 2015,Mike Carter,You Do Something To Me,silver,
2016,Black Friday,BJCP 2015,Mike Carter,Black Diamond,bronze,
2016,Black Friday,BJCP 2015,Lee Immins,Bring Your Daughter To The Porter,bronze,
2016,Black Friday,BJCP 2015,Lee Immins,Tramp Hair Treacle Stout,gold,
2016,Black Friday,BJCP 2015,Richard Conroy,Barclay Perkins 1859 Export India Porter,bronze,
2016,Black Friday,BJCP 2015,Mark Sanderson,Eclipse,gold,
2016,Black Friday,BJCP 2015,Mark Charlwood,Dark Mild,silver,
2016,Black Friday,BJCP 2015,Tim Weenink,Dray Cart,silver,
2016,Black Friday,BJCP 2015,Alex Allen,Milk Stout,bronze,
2016,Black Friday,BJCP 2015,John Kellett,Oaty Cokey Resurrection,bronze,
2016,Black Friday,BJCP 2015,Josh Smith,Bourbon Borough Stout,gold,
2016,Black Friday,BJCP 2015,Stew Horne,Grubelsucht,gold,
2016,Black Friday,BJCP 2015,Paul Spearman,Paul’s Munich Dunkel,silver,
2016,Black Friday,BJCP 2015,Sasha Maznov,Grapefruit Ipa,silver,
2016,Bexley Festival,NGWBJ,Mark Sanderson,Other Beer (Kolsch),gold,gold
2016,Bexley Festival,NGWBJ,Phill Turner,Bitter,gold,
2016,UK National Homebrewing Competition,BJCP 2015,Dave Strachan,Rauch,gold,
2016,UK National Homebrewing Competition,BJCP 2015,Rich Lock,Retribution Dark Strong,gold,
2016,UK National Homebrewing Competition,BJCP 2015,Fraser Withers,Tea Junction,gold,
2016,UK National Homebrewing Competition,BJCP 2015,Fraser Withers,Crossroads,gold,
2016,UK National Homebrewing Competition,BJCP 2015,Lee Immins,Bring Your Daughter To The Porter,gold,
2016,UK National Homebrewing Competition,BJCP 2015,Sasha Maznov,WIPA,gold,
2016,UK National Homebrewing Competition,BJCP 2015,Sasha Maznov,Double,silver,
2016,UK National Homebrewing Competition,BJCP 2015,James Wilson,White Tiger,silver,
2016,UK National Homebrewing Competition,BJCP 2015,Phill Turner,Essex Barley Wine,silver,
2016,UK National Homebrewing Competition,BJCP 2015,Tim Weenink,Longing For Home,silver,
